page path,document type,document supertype,number of sessions that visit this page,number of sessions where this page is an entrance hit,number of sessions where this page is an exit hit,number of sessions where this page is both an entrance and exit hit,tfdf_max
/search/all,finder,other,18787,1081,572,23,263.0
/,homepage,other,39089,1899,25618,1580,247.0
/find-a-job,transaction,services,71667,18532,4157,44191,204.0
/browse/working,mainstream_browse_page,other,15967,312,951,84,179.0
/universal-credit,guide,services,4140,217,1076,24,153.0
/prove-right-to-work,transaction,services,68277,13171,8498,38338,136.0
/apply-apprenticeship,answer,services,52112,11290,2323,36719,132.0
/contact-jobcentre-plus,guide,services,19282,2123,7788,5298,130.0
/request-copy-criminal-record,transaction,services,29136,6285,2940,16671,115.0
/browse/benefits,mainstream_browse_page,other,4393,177,562,34,113.0
/jobseekers-allowance,guide,services,16855,1102,7080,3136,109.0
/brexit,taxon,other,999,60,20,1,106.0
/government/collections/financial-support-for-businesses-during-coronavirus-covid-19,document_collection,other,27,4,6,0,105.0
/coronavirus,coronavirus_landing_page,other,1229,146,124,14,101.0
/government/organisations/department-for-work-pensions,organisation,other,4580,129,2677,261,91.0
/browse/working/state-pension,mainstream_browse_page,other,18091,879,3285,852,88.0
/view-prove-immigration-status,transaction,services,13167,1859,5891,1326,81.0
/sign-in-universal-credit,transaction,services,7527,3403,2042,349,80.0
/browse/tax,mainstream_browse_page,other,1362,35,25,0,75.0
/log-in-register-hmrc-online-services,guide,services,1765,652,447,32,74.0
/topic/further-education-skills/apprenticeships,topic,other,7488,415,3189,1185,72.0
/browse/visas-immigration,mainstream_browse_page,other,1907,74,191,7,68.0
/access-to-work,guide,services,4966,443,1603,1559,67.0
/check-state-pension,transaction,services,9239,396,722,31,61.0
/become-apprentice,guide,services,5377,585,1403,1107,61.0
/benefits-calculators,answer,services,3446,1174,297,50,60.0
/jobseekers-allowance/apply-new-style-jsa,guide,services,6578,4122,109,50,58.0
/browse/disabilities,mainstream_browse_page,other,739,22,25,3,57.0
/apply-national-insurance-number,answer,services,3094,399,1346,416,57.0
/browse/citizenship,mainstream_browse_page,other,854,22,17,0,57.0
/government/organisations,finder,other,669,40,16,1,56.0
/browse/education,mainstream_browse_page,other,1310,38,25,0,56.0
/browse/employing-people,mainstream_browse_page,other,1155,44,22,2,54.0
/national-minimum-wage-rates,answer,services,1569,416,507,179,54.0
/search/services,finder,other,302,20,3,0,53.0
/check-uk-visa,smart_answer,services,768,54,44,3,52.0
/contact-ukvi-inside-outside-uk,simple_smart_answer,services,2279,279,1022,180,52.0
/government/organisations/disclosure-and-barring-service,organisation,other,6075,249,3500,353,49.0
/browse/working/finding-job,mainstream_browse_page,other,6709,410,753,304,49.0
/career-skills-and-training,answer,services,1333,340,195,427,49.0
/browse/births-deaths-marriages,mainstream_browse_page,other,503,21,7,1,47.0
/check-state-pension/sign-in/prove-identity,service_sign_in,other,8214,4915,16,12,46.0
/contact-pension-service,answer,services,3599,1324,299,115,46.0
/guidance/red-amber-and-green-list-rules-for-entering-england,detailed_guide,guidance and regulation,700,174,232,9,44.0
/jobseekers-allowance/eligibility,guide,services,8482,1416,313,65,44.0
/government/organisations/hm-revenue-customs,organisation,other,820,50,401,10,43.0
/state-pension-age,smart_answer,services,4405,666,381,36,42.0
/browse/visas-immigration/work-visas,mainstream_browse_page,other,973,47,93,3,42.0
/browse/working/tax-minimum-wage,mainstream_browse_page,other,1821,169,136,115,42.0
/check-job-applicant-right-to-work,answer,services,4434,614,747,21,41.0
/browse/abroad,mainstream_browse_page,other,472,11,5,1,41.0
/settled-status-eu-citizens-families,guide,services,1148,85,131,5,41.0
/browse/driving,mainstream_browse_page,other,557,14,81,4,40.0
/guidance/claim-a-grant-through-the-coronavirus-covid-19-self-employment-income-support-scheme,detailed_guide,guidance and regulation,355,29,86,4,40.0
/browse/working/time-off,mainstream_browse_page,other,2468,248,131,135,40.0
/dbs-update-service,answer,services,3965,616,1780,768,39.0
/national-insurance,guide,services,824,45,137,3,38.0
/view-right-to-work,transaction,services,9732,4766,1099,351,38.0
/government/organisations/uk-visas-and-immigration,organisation,other,498,30,171,3,38.0
/pension-credit,guide,services,1309,79,138,20,38.0
/statutory-sick-pay,guide,services,964,91,172,24,37.0
/state-pension,guide,services,2528,190,317,19,37.0
/browse/housing-local-services,mainstream_browse_page,other,355,12,5,0,36.0
/browse/benefits/disability,mainstream_browse_page,other,677,43,30,6,36.0
/criminal-record-checks-apply-role,guide,services,5176,715,810,930,35.0
/browse/benefits/manage-your-benefit,mainstream_browse_page,other,1013,46,24,0,35.0
/browse/working/workplace-personal-pensions,mainstream_browse_page,other,1793,138,45,39,35.0
/legal-right-work-uk,simple_smart_answer,services,2535,569,225,33,34.0
/contact-jobcentre-plus/existing-benefit-claims,guide,services,2252,787,201,108,33.0
/get-state-pension,transaction,services,2765,932,370,120,33.0
/employment-support-allowance,guide,services,1663,96,194,12,33.0
/student-visa,guide,services,172,13,20,3,32.0
/coronavirus/worker-support,coronavirus_landing_page,other,292,32,46,6,32.0
/browse/business,mainstream_browse_page,other,503,21,10,1,32.0
/browse/education/find-course,mainstream_browse_page,other,1804,123,265,31,32.0
/personal-tax-account,transaction,services,1224,42,109,0,31.0
/lost-national-insurance-number,answer,services,855,87,101,12,31.0
/income-tax-rates,guide,services,392,61,52,0,31.0
/browse/working/contract-working-hours,mainstream_browse_page,other,1113,114,103,80,31.0
/dbs-check-applicant-criminal-record,guide,services,2127,323,441,66,31.0
/employment-status,guide,services,266,17,13,0,31.0
/find-traineeship,transaction,services,1785,421,147,496,31.0
/government/publications/right-to-work-checklist,guidance,guidance and regulation,938,357,227,14,30.0
/biometric-residence-permits,guide,services,576,68,140,3,30.0
/plan-for-retirement,step_by_step_nav,services,573,33,10,0,30.0
/contact-jobcentre-plus/new-benefit-claims,guide,services,2135,358,104,16,30.0
/browse/employing-people/contracts,mainstream_browse_page,other,351,21,21,3,30.0
/national-insurance-credits,guide,services,609,30,70,6,29.0
/universal-credit/eligibility,guide,services,3280,382,284,19,29.0
/call-charges,answer,services,569,106,58,3,29.0
/search,Extension,other,1,0,0,0,29.0
/holiday-entitlement-rights,guide,services,531,68,63,15,29.0
/browse/justice,mainstream_browse_page,other,240,10,6,0,29.0
/uk-border-control,guide,services,193,9,40,2,28.0
/moving-from-benefits-to-work/starting-your-own-business,guide,services,580,81,117,38,28.0
/dla-disability-living-allowance-benefit,guide,services,249,11,37,1,28.0
/carers-allowance,guide,services,382,34,71,7,27.0
/browse/childcare-parenting,mainstream_browse_page,other,336,10,3,0,27.0
/skilled-worker-visa,guide,services,616,45,79,7,27.0
/personal-tax-account/sign-in/prove-identity,service_sign_in,other,968,386,81,5,27.0
/employment-rights-for-interns,answer,services,771,78,158,408,27.0
/settled-status-eu-citizens-families/applying-for-settled-status,guide,services,761,105,289,9,26.0
/national-insurance/your-national-insurance-number,guide,services,660,49,133,7,26.0
/pip,guide,services,545,33,80,3,26.0
/government/organisations/hm-revenue-customs/contact/national-insurance-enquiries-for-employees-and-individuals,contact,other,243,44,31,1,26.0
/universal-credit/how-to-claim,guide,services,1405,618,88,11,26.0
/contact-hmrc,answer,services,276,18,84,5,26.0
/coronavirus/business-support,coronavirus_landing_page,other,90,4,7,0,26.0
/new-state-pension/what-youll-get,guide,services,2671,447,250,43,26.0
/reasonable-adjustments-for-disabled-workers,answer,services,505,122,42,9,25.0
/apply-to-come-to-the-uk,guide,services,268,16,46,1,25.0
/view-driving-licence,transaction,services,624,194,223,17,25.0
/find-internship,answer,services,473,37,134,108,25.0
/grant-bursary-adult-learners,answer,services,223,51,36,3,25.0
/state-pension/eligibility,guide,services,825,65,56,1,25.0
/government/organisations/hm-revenue-customs/contact/national-insurance-numbers,contact,other,583,113,105,7,25.0
/employment-support-allowance/eligibility,guide,services,1011,61,74,9,25.0
/income-support,guide,services,353,23,77,1,25.0
/foreign-travel-advice,travel_advice_index,other,154,4,30,2,25.0
/financial-help-disabled,guide,services,404,27,20,4,25.0
/universal-credit/other-financial-support,guide,services,536,58,45,8,25.0
/browse/driving/driving-licences,mainstream_browse_page,other,296,10,31,0,24.0
/check-national-insurance-record,transaction,services,974,353,98,8,24.0
/uk-family-visa,guide,services,154,14,11,0,24.0
/government/organisations/home-office,organisation,other,328,26,150,5,24.0
/government/organisations/hm-revenue-customs/contact,finder,other,206,12,29,1,24.0
/employee-immigration-employment-status,transaction,services,981,331,211,20,24.0
/vehicle-tax,transaction,services,202,55,81,1,24.0
/check-income-tax-last-year,transaction,services,178,56,21,1,24.0
/government/organisations/education-and-skills-funding-agency,organisation,other,287,29,104,19,23.0
/browse/benefits/looking-for-work,mainstream_browse_page,other,2125,85,108,8,23.0
/guidance/apprenticeship-funding-rules,detailed_guide,guidance and regulation,128,47,28,6,23.0
/browse/benefits/unable-to-work,mainstream_browse_page,other,471,15,2,0,23.0
/income-tax,guide,services,226,16,14,0,23.0
/guidance/new-style-jobseekers-allowance,detailed_guide,guidance and regulation,385,112,115,9,23.0
/national-insurance-rates-letters,guide,services,125,11,8,1,23.0
/student-finance-register-login,transaction,services,247,64,54,7,22.0
/health-care-worker-visa,guide,services,150,10,11,1,22.0
/government/organisations/hm-revenue-customs/contact/income-tax-enquiries-for-individuals-pensioners-and-employees,contact,other,215,58,33,2,22.0
/how-to-claim-universal-credit,Extension,other,1,0,0,0,22.0
/health-conditions-disability-universal-credit,answer,services,276,36,8,0,22.0
/browse/working/rights-trade-unions,mainstream_browse_page,other,565,82,20,22,22.0
/report-covid19-result,transaction,services,348,106,183,6,22.0
/pension-types,answer,services,466,106,5,0,22.0
/uk-visa-sponsorship-employers,guide,services,198,18,16,1,22.0
/employment-support-allowance/how-to-claim,guide,services,928,136,78,8,22.0
/housing-benefit,guide,services,382,28,40,0,22.0
/government/publications/introducing-govuk-verify/introducing-govuk-verify,html_publication,other,191,47,65,5,22.0
/find-local-council,special_route,other,244,71,37,10,22.0
/guidance/universal-credit-advances,detailed_guide,guidance and regulation,424,99,84,6,22.0
/disability-living-allowance-children,guide,services,72,5,3,0,22.0
/become-apprentice/pay-and-conditions,guide,services,1167,206,190,35,22.0
/universal-credit/contact-universal-credit,guide,services,717,144,206,9,22.0
/job-offers-your-rights,answer,services,901,45,79,609,21.0
/universal-credit/what-youll-get,guide,services,1369,143,89,3,21.0
/maximum-weekly-working-hours,guide,services,345,36,73,6,21.0
/workplace-pensions,guide,services,596,75,29,1,21.0
/moving-from-benefits-to-work,guide,services,484,41,102,66,21.0
/national-insurance/how-much-you-pay,guide,services,285,39,43,2,21.0
/get-information-about-a-company,transaction,services,214,110,17,2,21.0
/employers-checks-job-applicants,answer,services,769,89,86,106,21.0
/claim-tax-refund,simple_smart_answer,services,241,30,33,1,21.0
/search/guidance-and-regulation,finder,other,82,10,0,0,21.0
/how-to-have-your-benefits-paid,answer,services,350,56,25,4,21.0
/browse/benefits/low-income,mainstream_browse_page,other,440,15,20,0,21.0
/new-state-pension,guide,services,4117,265,82,6,21.0
/search/news-and-communications,finder,other,101,7,6,0,21.0
/what-different-qualification-levels-mean/list-of-qualification-levels,guide,services,334,57,162,8,21.0
/browse/childcare-parenting/financial-help-children,mainstream_browse_page,other,127,6,10,0,21.0
/apply-universal-credit,transaction,services,477,148,152,21,20.0
/government/publications/national-insurance-get-your-national-insurance-number-in-writing-ca5403,form,services,518,156,54,9,20.0
/state-pension/what-youll-get,guide,services,866,87,124,10,20.0
/browse/abroad/living-abroad,mainstream_browse_page,other,148,7,1,1,20.0
/guidance/covid-19-coronavirus-restrictions-what-you-can-and-cannot-do,detailed_guide,guidance and regulation,285,28,31,3,20.0
/guidance/travel-abroad-from-england-during-coronavirus-covid-19,detailed_guide,guidance and regulation,151,18,14,0,20.0
/criminal-record-checks-apply-role/application-process,guide,services,928,239,30,4,20.0
/looking-for-work-if-disabled,guide,services,639,85,101,251,20.0
/taking-sick-leave,answer,services,778,167,177,77,20.0
/national-insurance-credits/eligibility,guide,services,451,33,79,11,20.0
/calculate-your-holiday-entitlement,smart_answer,services,490,173,66,37,20.0
/government/collections/kickstart-scheme,document_collection,other,379,49,198,9,20.0
/tax-relief-for-employees/working-at-home,guide,services,68,24,14,0,20.0
/government/publications/the-national-minimum-wage-in-2021,research,research and statistics,140,44,57,1,20.0
/access-to-work/apply,guide,services,1447,815,50,18,20.0
/self-assessment-tax-returns,guide,services,183,8,25,1,20.0
/am-i-getting-minimum-wage,smart_answer,services,370,76,25,8,20.0
/guidance/dbs-check-requests-guidance-for-employers,detailed_guide,guidance and regulation,368,84,70,4,19.0
/contact-the-dvla,simple_smart_answer,services,170,44,48,5,19.0
/jobseekers-allowance/report-a-change-of-circumstances,guide,services,679,261,66,14,19.0
/guidance/redundancy-help-finding-work-and-claiming-benefits,detailed_guide,guidance and regulation,566,60,127,10,19.0
/uk-residence-card,guide,services,111,14,29,0,19.0
/government/publications/register-of-licensed-sponsors-workers,guidance,guidance and regulation,193,57,33,4,19.0
/manage-your-tax-credits,transaction,services,166,53,33,0,19.0
/pension-credit/eligibility,guide,services,699,67,54,7,19.0
/pip/how-to-claim,guide,services,271,62,34,2,19.0
/working-tax-credit,guide,services,234,14,42,2,19.0
/browse/visas-immigration/settle-in-the-uk,mainstream_browse_page,other,260,9,13,1,19.0
/find-pension-contact-details,transaction,services,379,191,29,9,19.0
/deferring-state-pension,guide,services,482,32,61,2,19.0
/guidance/free-courses-for-jobs,detailed_guide,guidance and regulation,357,62,118,6,19.0
/contact-jobcentre-plus/change-cancel-appointment,guide,services,680,155,90,9,19.0
/topic/dealing-with-hmrc/paying-hmrc,topic,other,62,3,9,0,19.0
/standard-visitor-visa,guide,services,127,7,10,0,18.0
/work-reference,answer,services,998,39,71,858,18.0
/find-out-dbs-check,simple_smart_answer,services,2401,519,73,24,18.0
/international-pension-centre,answer,services,565,226,24,11,18.0
/topic/personal-tax/income-tax,topic,other,285,13,10,0,18.0
/book-driving-test,transaction,services,105,34,41,1,18.0
/eu-eea,answer,services,92,9,19,1,18.0
/settled-status-eu-citizens-families/eligibility,guide,services,409,45,19,1,18.0
/guidance/check-if-you-could-be-covered-by-the-coronavirus-job-retention-scheme,detailed_guide,guidance and regulation,81,9,4,0,18.0
/browse/tax/national-insurance,mainstream_browse_page,other,345,14,6,0,18.0
/criminal-record-check-documents,guide,services,1162,155,79,681,18.0
/apply-renew-passport,transaction,services,139,37,31,0,18.0
/carers-allowance/effect-on-other-benefits,guide,services,110,7,9,1,18.0
/statutory-sick-pay/eligibility,guide,services,478,58,38,2,18.0
/tax-codes,guide,services,191,8,23,1,18.0
/attendance-allowance,guide,services,312,20,13,2,18.0
/keeping-your-pay-tax-records,guide,services,172,13,2,0,18.0
/british-citizenship,answer,services,229,15,10,0,18.0
/log-in-file-self-assessment-tax-return,answer,services,137,8,16,0,18.0
/browse/employing-people/recruiting-hiring,mainstream_browse_page,other,427,24,7,0,17.0
/employment-contracts-and-conditions,guide,services,403,58,10,0,17.0
/voluntary-national-insurance-contributions,guide,services,482,33,26,3,17.0
/student-finance/who-qualifies,guide,services,74,11,8,1,17.0
/guidance/manage-apprenticeship-funds,detailed_guide,guidance and regulation,447,174,57,13,17.0
/guidance/track-a-dbs-application,detailed_guide,guidance and regulation,1619,677,312,41,17.0
/tax-help,answer,services,67,4,3,0,17.0
/sure-start-maternity-grant,guide,services,165,8,41,2,17.0
/government/publications/criminal-records-checks-for-overseas-applicants,guidance,guidance and regulation,172,31,21,0,17.0
/browse/citizenship/citizenship,mainstream_browse_page,other,287,11,10,0,17.0
/test-and-trace-support-payment,local_transaction,services,157,42,18,0,17.0
/child-benefit,guide,services,238,13,48,3,17.0
/statutory-sick-pay/what-youll-get,guide,services,420,32,25,5,17.0
/government/publications/personal-information-use-in-borders-immigration-and-citizenship,guidance,guidance and regulation,326,35,155,5,17.0
/browse/abroad/passports,mainstream_browse_page,other,201,10,12,1,17.0
/topic/business-tax/self-employed,topic,other,92,8,2,0,17.0
/winter-fuel-payment,guide,services,444,31,22,1,17.0
/pip/what-youll-get,guide,services,290,31,27,2,17.0
/guidance/apply-for-a-kickstart-scheme-grant,detailed_guide,guidance and regulation,208,49,52,6,17.0
/new-state-pension/how-its-calculated,guide,services,758,101,39,3,17.0
/government/publications/statutory-sick-pay-employees-statement-of-sickness-sc2,form,services,156,48,40,19,17.0
/guidance/right-to-work-checks-employing-eu-eea-and-swiss-citizens,detailed_guide,guidance and regulation,353,40,131,3,17.0
/advertise-job,transaction,services,1565,1240,49,8,17.0
/check-income-tax-current-year/sign-in/prove-identity,service_sign_in,other,255,112,1,0,17.0
/employing-an-apprentice,guide,services,440,97,85,13,17.0
/government/publications/dbs-application-forms-guide-for-applicants,guidance,guidance and regulation,577,51,122,3,17.0
/browse/working/redundancies-dismissals,mainstream_browse_page,other,830,76,22,23,17.0
/browse/visas-immigration/what-you-need-to-do,mainstream_browse_page,other,292,3,2,0,16.0
/tax-on-pension,guide,services,396,27,15,0,16.0
/disabled-students-allowance-dsa,guide,services,68,6,9,0,16.0
/guidance/coronavirus-covid-19-what-to-do-if-youre-self-employed-and-getting-less-work-or-no-work,detailed_guide,guidance and regulation,57,2,3,1,16.0
/guidance/claim-a-grant-through-the-self-employment-income-support-scheme,detailed_guide,guidance and regulation,221,75,22,1,16.0
/help,special_route,other,234,37,34,3,16.0
/maternity-allowance,guide,services,246,12,31,0,16.0
/statutory-sick-pay/how-to-claim,guide,services,378,34,25,8,16.0
/self-employed-national-insurance-rates,answer,services,77,7,11,1,16.0
/benefit-cap,guide,services,140,13,20,0,16.0
/guidance/immigration-rules,manual,guidance and regulation,165,17,82,4,16.0
/pay-and-work-rights,answer,services,121,19,22,3,16.0
/government/organisations/hm-revenue-customs/contact/tax-credits-enquiries,contact,other,110,25,20,0,16.0
/government/collections/dbs-checking-service-guidance--2,document_collection,other,369,38,44,6,16.0
/disability-benefits-helpline,answer,services,123,36,11,0,16.0
/employment-support-allowance/what-youll-get,guide,services,557,67,31,2,16.0
/topic/business-tax/pension-scheme-administration,topic,other,118,17,1,0,16.0
/guidance/apply-for-communication-support-at-a-job-interview-if-you-have-a-disability-or-health-condition-access-to-work,detailed_guide,guidance and regulation,270,43,8,23,16.0
/become-apprentice/apply-for-an-apprenticeship,guide,services,2110,167,97,8,16.0
/dbs-check-applicant-criminal-record/get-a-standard-or-enhanced-dbs-check-for-an-employee,guide,services,866,200,99,9,16.0
/topic/work-careers/government-graduate-schemes,topic,other,322,33,53,66,16.0
/flexible-working,guide,services,156,19,6,2,16.0
/education/apprenticeships-traineeships-and-internships,taxon,other,79,2,15,4,15.0
/family-permit,guide,services,144,6,8,0,15.0
/tell-employer-or-college-about-criminal-record,guide,services,501,43,133,117,15.0
/guidance/prove-your-right-to-work-eu-eea-and-swiss-citizens,detailed_guide,guidance and regulation,315,21,59,4,15.0
/government/publications/right-to-work-checks-employers-guide,guidance,guidance and regulation,635,155,94,8,15.0
/budgeting-help-benefits,guide,services,247,13,70,6,15.0
/early-retirement-pension/personal-and-workplace-pensions,guide,services,326,32,5,0,15.0
/guidance/how-to-quarantine-when-you-arrive-in-england,detailed_guide,guidance and regulation,145,26,24,0,15.0
/renew-driving-licence,transaction,services,112,35,22,2,15.0
/early-retirement-pension,guide,services,317,19,16,1,15.0
/browse/tax/income-tax,mainstream_browse_page,other,396,8,6,0,15.0
/redundancy-your-rights/redundancy-pay,guide,services,199,34,56,10,15.0
/register-to-vote,transaction,services,100,28,36,4,15.0
/search/research-and-statistics,finder,other,54,3,3,0,15.0
/estimate-income-tax,transaction,services,156,73,28,3,15.0
/skilled-worker-visa/how-much-it-costs,guide,services,125,16,0,0,15.0
/state-pension-if-you-retire-abroad,guide,services,693,68,19,3,15.0
/check-state-pension/sign-in/create-account,service_sign_in,other,1582,937,5,2,15.0
/government/publications/benefit-and-pension-rates-2021-to-2022/benefit-and-pension-rates-2021-to-2022,html_publication,other,111,33,37,1,15.0
/tax-on-your-private-pension,guide,services,110,12,8,1,15.0
/additional-state-pension,guide,services,916,53,33,3,15.0
/browse/visas-immigration/family-visas,mainstream_browse_page,other,186,4,2,0,15.0
/maternity-pay-leave/pay,guide,services,229,30,43,5,15.0
/employment-support-allowance/your-esa-claim,guide,services,329,48,22,4,15.0
/mandatory-reconsideration,guide,services,122,15,4,0,15.0
/settle-in-the-uk,simple_smart_answer,services,163,23,10,0,15.0
/apply-first-provisional-driving-licence,transaction,services,235,67,54,8,15.0
/new-state-pension/your-national-insurance-record-and-your-state-pension,guide,services,1143,102,29,1,15.0
/claim-tax-credits,guide,services,116,5,44,1,15.0
/youth-mobility,guide,services,48,1,11,0,15.0
/working-retirement-pension-age,answer,services,149,12,11,0,15.0
/voluntary-national-insurance-contributions/deadlines,guide,services,160,5,20,1,15.0
/pension-credit/how-to-claim,guide,services,205,63,19,6,14.0
/benefit-fraud,answer,services,52,6,6,0,14.0
/government/organisations/hm-revenue-customs/contact/child-benefit,contact,other,62,12,8,0,14.0
/guidance/eu-settlement-scheme-evidence-of-uk-residence,detailed_guide,guidance and regulation,273,23,55,1,14.0
/browse/disabilities/benefits,mainstream_browse_page,other,330,12,11,0,14.0
/pay-voluntary-class-3-national-insurance,guide,services,306,40,18,1,14.0
/employment-support-allowance/change-of-circumstances,guide,services,300,64,64,10,14.0
/get-coronavirus-test,answer,services,122,32,39,0,14.0
/1619-bursary-fund,guide,services,213,17,9,0,14.0
/browse/working/armed-forces,mainstream_browse_page,other,463,43,16,17,14.0
/personal-tax-account/sign-in/create-account,service_sign_in,other,185,71,1,0,14.0
/search/policy-papers-and-consultations,finder,other,71,6,2,0,14.0
/child-employment,guide,services,102,9,35,3,14.0
/apply-council-tax-reduction,local_transaction,services,131,34,22,0,14.0
/work-health-programme,answer,services,231,26,41,7,14.0
/settled-status-eu-citizens-families/what-settled-and-presettled-status-means,guide,services,472,26,186,5,14.0
/graduate-visa,guide,services,127,12,24,0,14.0
/check-mot-status,transaction,services,81,21,28,0,14.0
/id-for-driving-licence,answer,services,99,13,16,0,14.0
/business-coronavirus-support-finder,smart_answer,services,70,6,10,1,14.0
/guidance/using-the-uk-immigration-id-check-app,detailed_guide,guidance and regulation,61,6,12,0,14.0
/national-insurance/what-national-insurance-is-for,guide,services,159,9,3,0,14.0
/browse/education/universities-higher-education,mainstream_browse_page,other,192,7,5,0,14.0
/guidance/get-help-with-benefits-and-pensions-if-you-have-accessibility-needs,detailed_guide,guidance and regulation,97,7,1,0,14.0
/guidance/incentive-payments-for-hiring-a-new-apprentice,detailed_guide,guidance and regulation,263,77,36,8,14.0
/guidance/booking-and-staying-in-a-quarantine-hotel-when-you-arrive-in-england,detailed_guide,guidance and regulation,60,18,20,0,14.0
/government/organisations/companies-house,organisation,other,193,9,75,1,14.0
/repaying-your-student-loan,guide,services,34,1,7,0,14.0
/working-when-pregnant-your-rights,answer,services,83,11,16,4,14.0
/disabled-facilities-grants,guide,services,113,4,8,0,14.0
/government/publications/dbs-identity-checking-guidelines,guidance,guidance and regulation,218,15,65,4,14.0
/find-coronavirus-support,smart_answer,services,136,15,15,0,13.0
/workplace-pensions/managing-your-pension,guide,services,106,19,5,0,13.0
/government/publications/test-and-trace-support-payment-scheme-claiming-financial-support/claiming-financial-support-under-the-test-and-trace-support-payment-scheme,html_publication,other,72,7,28,2,13.0
/government/organisations/hm-revenue-customs/contact/self-assessment,contact,other,51,9,7,1,13.0
/log-in-register-hmrc-online-services/register,guide,services,235,17,56,0,13.0
/guidance/basic-dbs-checks-guidance,detailed_guide,guidance and regulation,820,111,182,19,13.0
/personal-pensions-your-rights,guide,services,404,40,21,3,13.0
/tax-credits-calculator,transaction,services,129,29,18,0,13.0
/carers-allowance/eligibility,guide,services,195,25,21,1,13.0
/tax-national-insurance-after-state-pension-age,guide,services,168,10,15,3,13.0
/child-tax-credit,guide,services,121,5,19,0,13.0
/passport-advice-line,answer,services,35,7,3,0,13.0
/new-state-pension/how-to-claim,guide,services,999,68,80,4,13.0
/maternity-pay-leave,guide,services,370,22,93,20,13.0
/government/organisations/department-for-work-pensions/about/complaints-procedure,complaints_procedure,other,335,122,21,5,13.0
/student-finance-calculator,Extension,other,1,0,0,0,13.0
/pip/change-of-circumstances,guide,services,126,20,18,1,13.0
/training-study-work-your-rights,guide,services,104,16,4,4,13.0
/cold-weather-payment,guide,services,138,6,6,2,13.0
/plan-retirement-income,guide,services,100,13,6,0,13.0
/browse/births-deaths-marriages/child-adoption,mainstream_browse_page,other,55,3,0,0,13.0
/government/organisations/department-for-work-pensions/about/personal-information-charter,personal_information_charter,other,23,7,8,0,13.0
/minimum-wage-different-types-work,guide,services,99,2,11,2,13.0
/benefit-overpayments,guide,services,121,12,17,1,13.0
/government/collections/dbs-eligibility-guidance,document_collection,other,168,23,13,0,13.0
/workplace-bullying-and-harassment,answer,services,71,10,8,3,13.0
/financial-help-disabled/disability-and-sickness-benefits,guide,services,189,11,15,0,13.0
/national-insurance/help-if-youre-not-working,guide,services,135,6,26,0,13.0
/volunteering,guide,services,505,161,34,78,13.0
/government/publications/register-of-licensed-sponsors-students,guidance,guidance and regulation,33,3,9,1,13.0
/check-income-tax-current-year,transaction,services,324,11,16,1,13.0
/right-to-reside,answer,services,126,5,37,2,13.0
/working-for-yourself,answer,services,151,12,25,2,13.0
/state-pension/circumstances-change,guide,services,264,22,47,0,13.0
/government/publications/higher-and-degree-apprenticeships,guidance,guidance and regulation,1144,256,335,46,13.0
/guidance/work-out-your-turnover-so-you-can-claim-the-fifth-seiss-grant,detailed_guide,guidance and regulation,92,9,20,0,13.0
/disability-premiums,guide,services,258,12,45,2,13.0
/parental-leave,guide,services,104,7,21,0,12.0
/government/organisations/foreign-commonwealth-development-office,organisation,other,72,2,23,4,12.0
/tax-on-your-private-pension/lifetime-allowance,guide,services,54,7,10,1,12.0
/paternity-pay-leave,guide,services,187,18,32,4,12.0
/carers-credit,guide,services,144,3,11,1,12.0
/topic/personal-tax/national-insurance,topic,other,186,4,7,0,12.0
/reduced-earnings-allowance,guide,services,50,2,1,0,12.0
/new-state-pension/living-and-working-overseas,guide,services,196,25,30,1,12.0
/pip/eligibility,guide,services,323,31,11,3,12.0
/student-finance,guide,services,120,13,29,0,12.0
/know-when-you-can-leave-school,answer,services,444,39,192,52,12.0
/death-spouse-benefits-tax-pension/pensions,guide,services,115,18,34,2,12.0
/guidance/contact-the-department-for-work-and-pensions-about-its-policies,detailed_guide,guidance and regulation,113,10,44,3,12.0
/future-pension-centre,answer,services,489,120,44,2,12.0
/government/publications/dbs-check-eligible-positions-guidance,guidance,guidance and regulation,90,11,21,1,12.0
/register-for-self-assessment/self-employed,guide,services,88,26,18,1,12.0
/browse/housing-local-services/local-councils,mainstream_browse_page,other,36,2,1,0,12.0
/get-ready-to-employ-someone,step_by_step_nav,services,42,2,1,0,12.0
/government/organisations/government-digital-service,organisation,other,45,8,3,0,12.0
/check-driving-information,transaction,services,102,21,30,1,12.0
/update-uk-visas-immigration-account-details,guide,services,412,30,77,3,12.0
/holiday-entitlement-rights/calculate-leave-entitlement,guide,services,185,20,23,3,12.0
/browse/visas-immigration/eu-eea-swiss,mainstream_browse_page,other,513,10,2,0,12.0
/national-insurance/national-insurance-classes,guide,services,211,14,2,0,12.0
/browse/tax/dealing-with-hmrc,mainstream_browse_page,other,128,3,0,0,12.0
/learn-to-drive-a-car,step_by_step_nav,services,42,3,3,0,12.0
/skilled-worker-visa/your-job,guide,services,306,25,10,2,12.0
/apply-blue-badge,transaction,services,90,24,12,1,12.0
/government/organisations/department-for-work-pensions/about,about,other,99,7,41,2,12.0
/browse/benefits/families,mainstream_browse_page,other,258,11,8,0,12.0
/browse/employing-people/dismissals-redundancies,mainstream_browse_page,other,62,2,0,0,12.0
/employment-status/employee,guide,services,215,31,8,1,12.0
